King Solomon's Mines,Burlie,Markussen,692586065-X
A Via Láctea,Ann,Cardillo,698450017-6
One-Eyed Jacks,Aksel,Prestney,400037067-7
Phase IV,Bevin,Perche,008023690-1
Breaking Out (Vägen ut),Phillip,Martinets,996904947-X
United States of Secrets (Part One): The Program,Bertha,Klainman,614125002-5
Houdini,Clarette,Cullip,019231212-X
Beastly,Aime,Jellico,557261646-X
Grand Illusion (La grande illusion),Cazzie,Tizard,154453585-6
Frozen,Georgeanne,Oliphand,324031239-5
Don't Come Knocking,Robers,Berrane,861610012-1
Resident Evil: Extinction,Jackqueline,Bytheway,004394140-0
Hi Diddle Diddle,Mano,Dann,772873491-1
Red 2,Currey,Peeter,033754695-9
Cloudland,Carlota,Gussie,372848533-0
Girl Walk: All Day,Taber,McCumskay,020324121-5
Anne of Green Gables,Dev,Rohlfing,869590560-8
Premonition,Daren,Manjot,918370509-0
Lilies of the Field,Nickola,O'Hartagan,080941592-5
To Hell and Back,Paquito,Okill,566301607-4
Welcome to Woop-Woop,Orton,Battye,794247123-3
Electronic Labyrinth THX 1138 4EB,Lorri,McClunaghan,792386224-9
Zatoichi on the Road (Zatôichi kenka-tabi) (Zatôichi 5),Layton,Gager,182957097-8
Murder by Decree,Joelly,Maltster,403855478-3
Welcome to Macintosh,Merwyn,Rummery,301118123-3
Still Breathing,Aubrie,Commusso,063253739-6
The Adventures of André and Wally B.,Angy,Dick,802065480-1
Ruggles of Red Gap,Isadore,Tolley,163256851-9
That Day (Ce jour-là),Corabelle,Godsafe,687396940-0
In This Our Life,Tadeas,Welch,222432336-0
18 Years Old and Rising (J'aime regarder les filles),Archibold,Arnot,192644904-5
Alone in the Dark II,Nady,Cristofor,595165364-9
Terminator Salvation,Monti,Mansell,700144724-2
Future by Design,Gracie,Proud,584258600-2
How to Be a Man,Pierre,Pull,903536597-6
Apollo 13,Alexei,Bartoleyn,471300075-2
8th Wonderland,Elias,Rowell,500990540-X
Cure,Estrella,Dufore,419977269-3
Swing Kids,Diandra,Sporgeon,475967766-6
Torpedo Bombers (Torpedonostsy),Karrie,Carus,979826081-3
Let Him Have It,Derek,Godbolt,740341699-6
Why Man Creates,Blondy,Collacombe,120142145-4
Blind Shaft (Mang jing),Andy,Stretton,786677382-3
Saving Shiloh,Felix,Skarin,007677260-8
House of Wax,Reginald,Beneteau,435298641-0
Child's Play,Ammamaria,Gorman,599085828-0
Chinese Coffee,Sawyere,O' Hanvey,832368427-8
Larger Than Life,Shane,Biddleston,351638291-0
Born to Defense (Zhong hua ying xiong),Byram,Lamshead,898398702-2
Jack Brooks: Monster Slayer,Vassili,Rosengren,950478306-6
Kid Millions,Vikky,Brookfield,733833950-3
Men at Work,Shirlee,Marchi,874893094-6
Training Day,Audie,Diloway,780902295-4
Winnie the Pooh and the Blustery Day,Aluino,McCaughan,235644542-0
Killshot,Wheeler,Yakubovics,364523598-1
Adam & Paul,Johnette,Bennie,737522895-7
Tender Is the Night,Nicko,Guidera,512835321-4
Fire Over England,Chantalle,Baude,533194521-X
Westbound,Adolph,Worshall,081513075-9
Higher Learning,Cristionna,Ruzek,728899989-0
Girls Town,Manya,Garman,702324805-6
Asfalto,Aron,Pail,089119075-9
What the #$*! Do We Know!? (a.k.a. What the Bleep Do We Know!?),Hew,Shimwall,159771607-3
Late Bloomers,Sarena,Ingleton,570013530-2
Onionhead,Jeffry,Dielhenn,135970956-8
Shine a Light,Kathy,Crosthwaite,893789077-1
It Started in Naples,Sollie,Blowne,974040540-1
Scattered Clouds (Midaregumo),Roxi,Nalder,850106774-1
Wanted: Dead or Alive,Anthia,Nutbrown,525892696-6
Lady Dragon,Jermain,Jaegar,752808999-0
Venus,Dot,Neasam,861536292-0
Lille Fridolf and I,Kaycee,Norway,365463064-2
Red Dust,Gerome,Caras,958740841-1
Weekend (a.k.a. Le Week-end) (Week End),Elliott,Chevins,746642728-6
One Sunday Afternoon,Griffith,Callender,777425233-9
Speed Zone! (a.k.a. Cannonball Run III),Lucretia,Shaw,684204837-0
To the Sea (Alamar),Fanny,Havile,408084104-3
Fear Island,Hewett,Greenacre,559198443-6
Roseland,Ganny,Vardy,798886286-3
Ripley Under Ground,Cristian,Guilloud,469970739-4
Dragon Ball Z: Super Android 13! (Doragon bôru Z 7: Kyokugen batoru!! San dai sûpâ saiyajin),Xavier,Stockings,091931772-3
Il Mare (Siworae),Brad,Kleinhaut,258055688-5
Israeli Intelligence (Hamosad Hasagur),Francklin,Summergill,340736007-X
Devil Times Five (a.k.a. Peopletoys),Garry,Braghini,659448608-X
Every Which Way But Loose,Chev,Hulcoop,738445095-0
Stateside,Bartel,Bedell,474294908-0
3000 Miles to Graceland,Zorina,McWhinnie,584179080-3
King Ralph,Normand,Scolland,557720568-9
All American Chump,Zacharie,Emmott,969036366-2
Last Orders,Jess,Folini,050517642-4
Taffin,Patricio,Paoletto,020925207-3
Salvador (Puig Antich),Lulu,Barnaclough,746067098-7
Gunnin' for That #1 Spot,Leland,Congreave,338386752-8
Back in Business,Danie,Foy,969385388-1
Cashback,Smitty,Ketteringham,386879924-9
Musikanten,Merrilee,Clyma,180185701-6
Land of Happines (Onnen maa),Nike,Crumpton,527571137-9
Khartoum,Tamera,Crutcher,951165174-9
Who's Camus Anyway? (Kamyu nante shiranai),Galvan,Beamond,789864347-X
Too Tough to Die: A Tribute to Johnny Ramone,Finlay,Challes,511955185-8
Raid on Rommel,Alyssa,Joannic,970748942-1
Unthinkable,Ediva,O'Carrol,460685209-7
Johnny Suede,Duke,Picford,803488231-3
Trailer Park of Terror,Nikki,Vaun,407748852-4
Psych-Out,Lindsay,Lindfors,671393145-6
Revenge of the Nerds IV: Nerds in Love,Bruce,Thorogood,451918615-3
Aftermath: Population Zero,Harris,Paur,913961052-7
Deficit (Déficit),Saundra,Brass,373594767-0
Love Happens,Norma,Tunsley,069966741-0
Dune,Elvis,Loveguard,358205843-3
Bless the Beasts & Children,Hanan,Mace,057357949-0
Semi-Tough,Nadia,Paragreen,552700093-5
Crips and Bloods: Made in America,Marlin,Prestwich,545310904-1
With Great Power: The Stan Lee Story,Darius,Richmond,606327745-5
Call Girl,Rowney,Naismith,796316482-8
Race,Jeff,Hagger,612757728-4
Birth of the Living Dead,Donielle,Bedburrow,888582463-3
Ama lur (Tierra Madre),Valera,Clapson,916233609-6
Tokyo Fist (Tokyo ken),Bastian,Hanigan,971866384-3
Just Go with It,Nannette,Moreing,944095209-1
Don't Make Waves,Nealy,Bodega,248223813-7
Russell Brand: Messiah Complex,Cordell,Fragino,626310638-7
A Grain of Truth,Lauralee,Walsom,402546127-7
Metropolitan,Dorree,Croutear,048055123-5
Between Miracles,Katya,Mussalli,977452847-6
Mr. Moto in Danger Island,Desirae,Perritt,265327013-7
Teenage Paparazzo,Henrik,Butchers,100754069-9
Conviction,Weylin,Smalridge,157315396-6
It Started with Eve,Nada,Gavriel,868126709-4
Some Folks Call It a Sling Blade,Torry,Darke,413345442-1
Bogus,Brian,Shacklady,338806572-1
Price of Glory,Kingston,Goosnell,286167531-4
Land of the Lost,Liv,Cleugh,595068756-6
Rabid Dogs (Kidnapped) (Cani arrabbiati),Misti,Ternouth,311123452-5
Deliverance Creek,Artair,Swiggs,781258414-3
Still Walking (Aruitemo aruitemo),Marijn,Kochl,528154393-8
What We Did on Our Holiday,Nana,Dumbelton,803207608-5
Orlando,Thom,Colloby,807954529-4
Sirocco,Etienne,Reding,879517313-7
I Am Santa Claus,Wanda,Greguol,212881657-2
Manhunt,Elinor,Iacopini,983664300-1
Tales That Witness Madness,Nikolas,Waison,115716141-3
Drive Thru,Alleyn,Brodeur,781852246-8
Hitch,Courtney,Dunseath,235600949-3
Life Is Sweet,Diane-marie,Trowill,241150926-X
Tell Them Willie Boy is Here,Wendye,Duns,921711800-1
Open Your Eyes (Abre los ojos),Porty,Mournian,495259310-X
In Cold Blood,Marin,Aimson,678572356-6
Kill Buljo: The Movie,Nike,Caplis,271651411-9
Honey,Putnam,Mateev,199623998-8
Gummo,Hetty,Chasmer,289699618-4
Brides of Dracula,Stephen,Rodders,353046119-9
Murder on a Sunday Morning (Un coupable idéal),Yorker,Apfelmann,982247182-3
Old Acquaintance,Seana,Mangam,219096367-2
Virginia,Daniela,Boshere,229271192-3
Bachelor Apartment,Adlai,Andries,355438186-1
Much Ado About Something,Cherrita,Stanyan,206769685-8
Kevin Nealon: Now Hear Me Out!,Giffy,Capponeer,500972892-3
Where the Day Takes You,Trish,Stratz,304441824-0
Boyz N the Hood,Cara,Mar,835316964-9
Irma Vep,Portie,Kynson,054112968-6
Yu-Gi-Oh!,Raye,Bonnin,962723047-2
In the Time of the Butterflies,Doralin,Ketton,952047741-1
Nazarin (Nazarín),Lucille,Bucktharp,754029485-X
Number One with a Bullet,Christen,Filipiak,655898860-7
Eros Plus Massacre (Erosu purasu Gyakusatsu),Veradis,Prinn,493462320-5
Fullmetal Alchemist: The Sacred Star of Milos,Letizia,Hartington,508370392-0
Down to Earth,Harrie,Trusse,225098600-2
W.W. and the Dixie Dancekings,Karen,Bendell,384158754-2
Band of the Hand,Zarla,McTear,511020434-9
Ernest Saves Christmas,Minny,Epgrave,270184856-3
Medium Cool,Brewer,Symper,423582716-2
